episode,total_reward
1,"[[61.58179 ]
 [61.517822]
 [61.412834]
 [61.447613]
 [61.484177]
 [61.36867 ]
 [61.37997 ]
 [61.562737]
 [61.405434]
 [61.53081 ]
 [61.22529 ]
 [61.41018 ]
 [61.58014 ]
 [61.465126]
 [61.54642 ]
 [61.522762]
 [61.44414 ]
 [61.4247  ]
 [61.537766]
 [61.45085 ]
 [61.54075 ]
 [61.547684]
 [61.474747]
 [61.43787 ]
 [61.457195]
 [61.543488]
 [61.474133]
 [61.404575]
 [61.398582]
 [61.51979 ]
 [61.42081 ]
 [61.598423]
 [61.55452 ]
 [61.63958 ]
 [61.449314]
 [61.52017 ]
 [61.48699 ]
 [61.582535]
 [61.418606]
 [61.446545]
 [61.380787]
 [61.543556]
 [61.362564]
 [61.502052]
 [61.331097]
 [61.596195]
 [61.593586]
 [61.529556]
 [61.540005]
 [61.34529 ]
 [61.191986]
 [61.47576 ]
 [61.42453 ]
 [61.432377]
 [61.546097]
 [61.54823 ]
 [61.526367]
 [61.249897]
 [61.559082]
 [61.193073]
 [61.273777]
 [61.344364]
 [61.574963]
 [61.50172 ]]"
2,"[[181.62999]
 [180.49695]
 [183.08072]
 [179.26971]
 [182.81615]
 [182.82243]
 [182.33208]
 [181.12878]
 [183.25574]
 [184.01581]
 [183.27269]
 [179.62257]
 [182.78786]
 [182.57658]
 [179.07724]
 [180.10349]
 [178.87308]
 [185.2981 ]
 [184.86781]
 [181.02519]
 [180.966  ]
 [185.92548]
 [182.19508]
 [187.70686]
 [185.1228 ]
 [183.4706 ]
 [187.38606]
 [183.28574]
 [183.6082 ]
 [181.08563]
 [184.72153]
 [182.4631 ]
 [182.31006]
 [186.34235]
 [183.69586]
 [182.65508]
 [184.00008]
 [179.16682]
 [181.41258]
 [177.5319 ]
 [178.9546 ]
 [182.43112]
 [178.54214]
 [182.58113]
 [181.74869]
 [183.09041]
 [180.60905]
 [181.511  ]
 [180.60083]
 [185.07446]
 [183.20717]
 [183.94916]
 [182.25043]
 [181.46179]
 [180.79877]
 [176.66315]
 [183.12453]
 [183.3388 ]
 [182.07866]
 [180.6105 ]
 [179.8946 ]
 [183.22386]
 [184.79913]
 [179.35808]]"
3,"[[219.50667]
 [221.17923]
 [220.38155]
 [212.31862]
 [209.31926]
 [222.16115]
 [209.10202]
 [229.57176]
 [217.46402]
 [213.45134]
 [223.66191]
 [213.7275 ]
 [210.63914]
 [227.2197 ]
 [203.19017]
 [230.28867]
 [212.71194]
 [215.6347 ]
 [221.91075]
 [202.6934 ]
 [224.89392]
 [214.43405]
 [220.88509]
 [215.20755]
 [207.38205]
 [212.54   ]
 [214.00319]
 [226.72472]
 [223.21513]
 [221.67265]
 [214.12837]
 [220.44534]
 [219.45702]
 [225.6279 ]
 [213.1581 ]
 [226.31111]
 [214.88425]
 [214.18933]
 [217.92975]
 [217.90881]
 [211.68896]
 [220.44441]
 [221.66362]
 [218.32114]
 [225.36363]
 [224.12688]
 [223.46883]
 [217.71165]
 [221.53105]
 [214.02162]
 [231.60793]
 [217.71439]
 [216.7009 ]
 [215.90987]
 [210.97072]
 [206.7347 ]
 [207.9199 ]
 [212.84898]
 [209.17375]
 [210.66115]
 [220.11055]
 [212.203  ]
 [213.6746 ]
 [214.33441]]"
4,"[[204.65569]
 [222.10564]
 [207.07481]
 [223.80826]
 [190.03107]
 [223.09033]
 [218.70284]
 [228.97998]
 [227.28867]
 [208.02077]
 [202.61942]
 [217.21303]
 [215.7336 ]
 [212.09064]
 [200.66878]
 [207.98116]
 [207.92735]
 [232.35065]
 [223.23488]
 [199.9078 ]
 [213.67656]
 [230.29903]
 [243.77048]
 [205.84154]
 [218.7001 ]
 [203.10481]
 [210.40642]
 [202.53474]
 [209.60553]
 [218.76286]
 [224.27182]
 [214.98657]
 [209.3087 ]
 [216.53165]
 [215.83809]
 [232.04826]
 [209.8834 ]
 [221.70883]
 [225.14421]
 [209.45169]
 [219.52193]
 [216.97745]
 [205.65564]
 [221.8657 ]
 [222.7828 ]
 [242.29385]
 [215.18547]
 [216.34695]
 [203.72461]
 [217.91331]
 [214.43326]
 [213.02162]
 [227.85988]
 [211.81705]
 [224.03938]
 [185.58089]
 [198.69226]
 [210.31027]
 [206.87454]
 [233.3237 ]
 [228.28064]
 [222.58017]
 [215.8768 ]
 [236.58022]]"
5,"[[204.92322]
 [170.59271]
 [203.82016]
 [171.27199]
 [216.84488]
 [207.20634]
 [194.78981]
 [212.4052 ]
 [186.103  ]
 [217.91158]
 [226.43053]
 [172.17978]
 [202.27098]
 [205.07834]
 [191.64452]
 [190.47089]
 [208.40134]
 [180.179  ]
 [190.96107]
 [202.76874]
 [245.72037]
 [188.05057]
 [172.7968 ]
 [203.19933]
 [196.1167 ]
 [206.73975]
 [153.33734]
 [194.1986 ]
 [200.1588 ]
 [225.39742]
 [194.53497]
 [173.73799]
 [211.18503]
 [226.98253]
 [170.04477]
 [218.41347]
 [197.8269 ]
 [207.77753]
 [187.62729]
 [196.40402]
 [211.2828 ]
 [211.51547]
 [187.55826]
 [202.05731]
 [179.18459]
 [198.97893]
 [189.68687]
 [209.18231]
 [183.77838]
 [204.36203]
 [198.74467]
 [179.12149]
 [225.8063 ]
 [207.16583]
 [193.27345]
 [173.01213]
 [217.18948]
 [191.07523]
 [218.12015]
 [205.37486]
 [176.92096]
 [200.96252]
 [176.94763]
 [197.91634]]"
6,"[[208.5566 ]
 [234.54347]
 [221.8914 ]
 [234.50911]
 [239.90387]
 [183.48587]
 [197.3422 ]
 [164.63127]
 [258.57748]
 [212.03743]
 [162.00156]
 [215.44044]
 [226.63768]
 [193.48233]
 [170.72787]
 [211.49327]
 [234.1535 ]
 [182.24312]
 [219.18674]
 [247.3904 ]
 [208.63695]
 [199.21782]
 [211.08394]
 [220.21143]
 [194.08653]
 [210.8222 ]
 [194.97449]
 [183.8877 ]
 [207.34169]
 [188.3122 ]
 [161.60342]
 [177.89378]
 [243.18924]
 [195.64777]
 [248.81827]
 [208.70483]
 [244.7802 ]
 [173.24039]
 [204.29082]
 [206.5443 ]
 [238.80925]
 [185.29852]
 [221.3278 ]
 [217.40656]
 [207.9716 ]
 [205.99611]
 [197.8891 ]
 [233.6176 ]
 [217.82138]
 [227.53947]
 [215.98146]
 [230.45918]
 [194.3818 ]
 [225.1853 ]
 [265.0906 ]
 [191.491  ]
 [204.19458]
 [235.74944]
 [211.38681]
 [255.26476]
 [208.97249]
 [232.61674]
 [191.27869]
 [168.45119]]"
7,"[[261.7319 ]
 [246.01212]
 [227.50523]
 [263.59427]
 [251.40637]
 [242.37784]
 [288.802  ]
 [307.95   ]
 [304.94278]
 [254.32693]
 [229.4978 ]
 [230.61032]
 [239.94684]
 [238.61914]
 [209.78203]
 [180.09259]
 [201.89122]
 [249.6557 ]
 [190.9094 ]
 [247.68906]
 [302.73438]
 [251.06593]
 [219.10043]
 [277.70273]
 [210.61635]
 [172.52483]
 [270.09973]
 [263.25574]
 [231.07198]
 [276.0705 ]
 [224.16447]
 [254.36813]
 [228.21117]
 [240.89314]
 [295.5508 ]
 [316.5655 ]
 [244.7059 ]
 [209.78171]
 [275.3767 ]
 [216.69257]
 [290.89008]
 [180.13521]
 [225.03687]
 [229.29501]
 [251.54051]
 [278.53363]
 [225.5096 ]
 [254.54556]
 [192.91579]
 [288.13086]
 [252.98782]
 [296.25708]
 [223.86243]
 [285.99823]
 [275.6401 ]
 [231.19934]
 [217.23296]
 [257.21945]
 [250.6389 ]
 [252.85074]
 [238.34166]
 [196.14975]
 [174.40726]
 [236.75818]]"
8,"[[269.90836]
 [213.0554 ]
 [243.97678]
 [198.61635]
 [239.5345 ]
 [234.42046]
 [211.49683]
 [280.00397]
 [287.945  ]
 [267.41983]
 [269.12137]
 [320.61316]
 [229.25008]
 [369.50082]
 [233.4754 ]
 [271.19443]
 [234.93486]
 [239.63083]
 [261.0604 ]
 [278.06784]
 [252.36203]
 [245.1947 ]
 [264.5383 ]
 [237.10596]
 [234.76796]
 [246.69812]
 [196.93565]
 [261.43237]
 [278.03122]
 [247.04959]
 [326.51746]
 [217.87027]
 [247.75136]
 [220.5349 ]
 [245.39659]
 [314.9252 ]
 [189.96016]
 [200.98114]
 [262.59372]
 [234.01994]
 [306.6517 ]
 [259.20496]
 [264.30396]
 [299.06982]
 [258.3408 ]
 [220.18422]
 [205.93619]
 [325.60355]
 [235.32658]
 [225.68732]
 [292.69403]
 [272.8662 ]
 [284.89587]
 [241.69252]
 [245.21037]
 [279.71027]
 [248.5614 ]
 [296.74918]
 [244.29669]
 [211.4831 ]
 [253.34816]
 [257.54816]
 [262.9147 ]
 [326.87564]]"
9,"[[361.33133]
 [330.93842]
 [308.03735]
 [366.0734 ]
 [350.03696]
 [424.81512]
 [316.35492]
 [329.33304]
 [328.80338]
 [295.76703]
 [285.0874 ]
 [317.97006]
 [202.91252]
 [424.08862]
 [311.78845]
 [327.4509 ]
 [197.35133]
 [315.30664]
 [325.02548]
 [269.17593]
 [250.42787]
 [288.28738]
 [350.521  ]
 [310.34222]
 [294.4747 ]
 [281.52353]
 [371.7925 ]
 [451.76877]
 [297.9137 ]
 [325.6342 ]
 [373.11636]
 [372.3489 ]
 [321.80826]
 [291.3518 ]
 [305.43604]
 [279.81003]
 [264.941  ]
 [342.83694]
 [307.2906 ]
 [398.6172 ]
 [348.94678]
 [291.4414 ]
 [347.98346]
 [308.09204]
 [378.49643]
 [307.45312]
 [351.44614]
 [384.80054]
 [297.0708 ]
 [227.14949]
 [291.12128]
 [352.5459 ]
 [273.59924]
 [367.19092]
 [321.18222]
 [367.68372]
 [293.75745]
 [354.9336 ]
 [305.88007]
 [281.5058 ]
 [388.37753]
 [303.53815]
 [293.12183]
 [220.6823 ]]"
10,"[[434.791  ]
 [457.131  ]
 [445.0446 ]
 [331.389  ]
 [482.6257 ]
 [386.9089 ]
 [331.38855]
 [410.01578]
 [396.37228]
 [394.89685]
 [428.9159 ]
 [390.63376]
 [328.89798]
 [462.1712 ]
 [500.4987 ]
 [446.39368]
 [399.95374]
 [353.8464 ]
 [446.6968 ]
 [417.57687]
 [423.00842]
 [408.20413]
 [405.20758]
 [371.36606]
 [406.30457]
 [361.51025]
 [459.4027 ]
 [364.04916]
 [469.7729 ]
 [354.51962]
 [454.06247]
 [465.10318]
 [463.677  ]
 [385.11484]
 [332.08496]
 [394.92386]
 [437.421  ]
 [380.5808 ]
 [344.4695 ]
 [376.53555]
 [394.96814]
 [380.0597 ]
 [399.74146]
 [324.29712]
 [435.2672 ]
 [402.5551 ]
 [457.8307 ]
 [462.44373]
 [424.3066 ]
 [391.52194]
 [376.57404]
 [335.05545]
 [394.37094]
 [394.65106]
 [424.94348]
 [397.53534]
 [436.799  ]
 [406.46118]
 [312.18765]
 [449.44916]
 [531.46027]
 [463.4201 ]
 [411.67856]
 [433.7332 ]]"
