episode,Q_value
1,-0.054185971163846526
2,-0.11420296841985707
3,-0.04754903623626735
4,-0.6879590736283568
5,-1.7283120784280794
6,-1.4435913222502186
7,-3.001457238156554
8,-0.5670325036138245
9,-2.5932841934275497
10,-0.9029203228741521
11,-1.6670623799532418
12,-1.1614055875190015
13,-2.6860553210270206
14,-0.8175619795026898
15,-2.388356517166673
16,-2.028047154168105
17,-2.039298554101379
18,-6.378445051493444
19,-1.2292093613427293
20,-6.949194024899398
21,-1.119757041007393
22,-10.65983222654122
23,-1.7838348374454065
24,-8.806573943094483
25,-5.288507744345936
26,-3.3845172117802482
27,-1.9157944297353582
28,-1.750778211449978
29,-0.9650053752714326
30,-4.626708991248235
31,-7.704778370709411
32,-1.6447137623198258
33,-8.893014785109473
34,-12.951042402304196
35,-11.343680472335853
36,-1.5778499981184748
37,-5.86319769679318
38,-4.698596032636672
39,-3.503149092385018
40,-4.681227447819049
41,-18.122443150580505
42,-21.60904015256887
43,-2.9197322212430348
44,-15.42768701371189
45,-4.12661117143174
46,-5.348463648766098
47,-4.807073504356085
48,-8.215005471062444
49,-5.410207999616409
50,-8.801312972034118
51,-2.855095785150239
52,-9.465172267430374
53,-13.31259929893344
54,-0.7164931598087967
55,-3.4651047823808776
56,-10.99694333370063
57,-6.604662841636562
58,-19.93630360961845
59,-31.001066776299584
60,-16.544776167423766
61,-5.321805676253572
62,-16.337926019017214
63,-15.694292437090317
64,-14.889178259624932
65,-19.30214008908991
66,-18.933815175027803
67,-2.826750876270998
68,-6.613842386444326
69,-24.210566714539844
70,-9.903604424516981
71,-17.09579985302865
72,-8.509525174865711
73,-6.791368051224668
74,-9.404771035907311
75,-10.534248214922616
76,-14.954005717921623
77,-35.50231974994793
78,-16.161710551692
79,-8.795148857851364
80,-2.6776216678676694
81,-10.143025899448682
82,-1.9784302401702965
83,-2.07004712022427
84,-2.307167135727622
85,-1.1637995903361118
86,-12.68177546502715
87,-30.210295718973732
88,-40.07839828874521
89,-30.797431641749014
90,-18.377071436808308
91,-33.56678764106305
92,-10.056971743094858
93,-4.205600622463729
94,-22.36583136867923
95,-14.226672181521916
96,-27.047106271216876
97,-13.78066963696228
98,-26.00724272246692
99,-11.929494865995949
100,-14.311529833641474
101,-23.046402516827353
102,-16.263712483703046
103,-24.845306189869397
104,-13.57738976722013
105,-6.0119755817006855
106,1.1723466925296162
107,-10.866440484651651
108,-16.679503222992782
109,-27.30755631000296
110,-5.571691307043732
111,-5.685572979804703
112,-53.53866766225052
113,-8.575963915677915
114,-30.54664329036958
115,0.29219509297323243
116,-43.84085094616518
117,-32.34792190348456
118,-6.497296276121033
119,-14.22012391376254
120,-8.994991801491205
121,-8.935545667274953
122,-13.808302516953486
123,-42.368528068783995
124,-57.20967831144569
125,-37.455518397284656
126,-15.53161622423494
127,-22.9430686313064
128,-12.94023533210025
129,-15.883764403464722
130,-5.46875871254441
131,-29.59798535868238
132,-17.067649870918117
133,-3.954810221727543
134,-11.657668743662063
135,-21.91061182197914
136,-12.511618262050353
137,-48.61164439696996
138,-26.1926312310949
139,-6.434338783697117
140,-23.508926185824528
141,-32.108280021880894
142,-10.486363430759829
143,-31.381011460074824
144,-49.19195216065897
145,-16.09088950204998
146,-68.49134365589678
147,-21.810213842013166
148,-27.571132883007863
149,-33.09082312638807
150,1.0972666320340165
151,-9.682320201123677
152,-22.283656198278923
153,-64.77266856249837
154,-67.31085914516973
155,-48.557619110952615
156,-10.368960927830523
157,-31.48732604251029
158,-34.89465934847512
159,-32.88835592642061
160,-57.509833766979106
161,-19.748664606594634
162,-20.839358514170648
163,-33.472453212337186
164,-68.7996800244277
165,-39.520037643089154
166,-6.80946615888463
167,-36.79246645287149
168,-47.73822595110565
169,-42.39430000458694
170,-3.7430042407140136
171,-22.62669957197926
172,-22.67675028531822
173,-26.96120130737492
174,-12.338369598681295
175,-18.02314431501654
176,-27.112026162424762
177,-57.664244519501395
178,-81.50051270769166
179,-54.64049900883738
180,-76.1352350592305
181,-53.54622799359906
182,-8.419140869923071
183,-62.356003483772845
184,-36.2049203337628
185,-52.92043857529836
186,-46.55214241133423
187,-20.56411200477032
188,-14.326897456363804
189,-20.78083022069769
190,-32.013776798411186
191,-27.274918073362755
192,-88.87836930689409
193,-33.1013104402376
194,-30.53986481878744
195,-15.946896277284226
196,-40.05115825901366
197,-94.21556594687574
198,-58.27023039315086
199,-33.97501434208058
200,-87.49001913868358
201,-18.17602130216718
202,-25.226067990785587
203,-28.4619758950227
204,-49.91934175944119
205,-21.805378691031343
206,-33.68609454012705
207,-14.277955693086268
208,-28.950788002915434
209,-25.94635765302642
210,-37.42661287071259
211,-18.731265502806515
212,-33.40239913711493
213,-7.710274971637541
214,-42.7357605839421
215,-21.41392160906273
216,-30.232304906263355
217,-14.643685984966266
218,-57.75913580941669
219,-73.75449622221028
220,-55.17465976445554
221,-20.079614755269766
222,-78.73397880636242
223,-43.633596650223005
224,-69.05655565015861
225,-90.93279876678777
